Wednesday October 15,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,3256.6,,,100
08:00,100,,,,2 Week Average:,Hour,Solar Irradiance (W/m2),,,,,,
09:00,214,,,,,08:00,82.53,3%,2.53,,,,
10:00,325,,,,,09:00,222.40,7%,6.83,,,,
11:00,472,,,,,10:00,354.40,11%,10.88,,,,
12:00,438,,,,,11:00,444.00,14%,13.63,,,,
13:00,532,,,,,12:00,487.27,15%,14.96,,,,
14:00,500,,,,,13:00,492.07,15%,15.11,,,,
15:00,453,,,,,14:00,460.20,14%,14.13,,,,
16:00,284,,,,,15:00,373.93,11%,11.48,,,,
17:00,119,,,,,16:00,245.33,8%,7.53,,,,
18:00,2,,,,,17:00,94.33,3%,2.90,,,,
,,,,,,18:00,0.13,0%,0.00,,,,
Thursday October 16,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,,,,
08:00,36,,,,,,,,,,,,
09:00,82,,,,,,,,,,,,
10:00,161,,,,,,,,,,,,
11:00,155,,,,,,,,,,,,
12:00,172,,,,,,,,,,,,
13:00,173,,,,,,,,,,,,
14:00,158,,,,,,,,,,,,
15:00,166,,,,,,,,,,,,
16:00,277,,,,,,,,,,,,
17:00,56,,,,,,,,,,,,
,,,,,,,,,,,,,
Friday October 17,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,,,,
08:00,102,,,,,,,,,,,,
09:00,89,,,,,,,,,,,,
10:00,160,,,,,,,,,,,,
11:00,154,,,,,,,,,,,,
12:00,188,,,,,,,,,,,,
13:00,171,,,,,,,,,,,,
14:00,156,,,,,,,,,,,,
15:00,127,,,,,,,,,,,,
16:00,85,,,,,,,,,,,,
17:00,36,,,,,,,,,,,,
,,,,,,,,,,,,,
Saturday October 18,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,,,,
08:00,93,,,,,,,,,,,,
09:00,237,,,,,,,,,,,,
10:00,357,,,,,,,,,,,,
11:00,431,,,,,,,,,,,,
12:00,468,,,,,,,,,,,,
13:00,451,,,,,,,,,,,,
14:00,402,,,,,,,,,,,,
15:00,310,,,,,,,,,,,,
16:00,202,,,,,,,,,,,,
17:00,85,,,,,,,,,,,,
,,,,,,,,,,,,,
Sunday October 19,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,,,,
08:00,101,,,,,,,,,,,,
09:00,271,,,,,,,,,,,,
10:00,424,,,,,,,,,,,,
11:00,527,,,,,,,,,,,,
12:00,578,,,,,,,,,,,,
13:00,575,,,,,,,,,,,,
14:00,571,,,,,,,,,,,,
15:00,483,,,,,,,,,,,,
16:00,328,,,,,,,,,,,,
17:00,135,,,,,,,,,,,,
,,,,,,,,,,,,,
Monday October 20,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,,,,
08:00,29,,,,,,,,,,,,
09:00,78,,,,,,,,,,,,
10:00,120,,,,,,,,,,,,
11:00,151,,,,,,,,,,,,
12:00,167,,,,,,,,,,,,
13:00,167,,,,,,,,,,,,
14:00,336,,,,,,,,,,,,
15:00,365,,,,,,,,,,,,
16:00,285,,,,,,,,,,,,
17:00,127,,,,,,,,,,,,
,,,,,,,,,,,,,
Tuesday October 21,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,,,,
08:00,95,,,,,,,,,,,,
09:00,301,,,,,,,,,,,,
10:00,476,,,,,,,,,,,,
11:00,597,,,,,,,,,,,,
12:00,661,,,,,,,,,,,,
13:00,662,,,,,,,,,,,,
14:00,567,,,,,,,,,,,,
15:00,355,,,,,,,,,,,,
16:00,80,,,,,,,,,,,,
17:00,93,,,,,,,,,,,,
,,,,,,,,,,,,,
Wednesday October 22,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,,,,
08:00,94,,,,,,,,,,,,
09:00,298,,,,,,,,,,,,
10:00,471,,,,,,,,,,,,
11:00,593,,,,,,,,,,,,
12:00,658,,,,,,,,,,,,
13:00,660,,,,,,,,,,,,
14:00,599,,,,,,,,,,,,
15:00,481,,,,,,,,,,,,
16:00,315,,,,,,,,,,,,
17:00,122,,,,,,,,,,,,
,,,,,,,,,,,,,
Thursday October 23,,,,,,,,,,,,,
Hour,Solar Irradiance (W/m2),,,,,,,,,,,,
08:00,106,,,,,,,,,,,,
09:00,299,,,,,,,,,,,,
10:00,467,,,,,,,,,,,,
11:00,588,,,,,,,,,,,,
12:00,653,,,,,,,,,,,,
13:00,655,,,,,,,,,,,,
